row_num,csv_parent_path,csv_name,status,message,subcategory_id,db_name_ar,db_name_en,slug,parent_subcategory_id,category_id
118,"المركبات > سيارات دفع رباعي وبيك آب > Suzuki",XL7,added,"Created subcategory id 44837",44837,XL7,XL7,suzuki-Off-Road-SUV-Pickup-Trucks-xl7,34041,1
119,"المركبات > سيارات دفع رباعي وبيك آب > Toyota",Highlander,added,"Created subcategory id 44838",44838,Highlander,Highlander,toyota-Off-Road-SUV-Pickup-Trucks-highlander,34045,1
120,"المركبات > سيارات دفع رباعي وبيك آب > Toyota",Sequoia,added,"Created subcategory id 44839",44839,Sequoia,Sequoia,toyota-Off-Road-SUV-Pickup-Trucks-sequoia,34045,1
121,"المركبات > سيارات دفع رباعي وبيك آب > Toyota",Tacoma,added,"Created subcategory id 44840",44840,Tacoma,Tacoma,toyota-Off-Road-SUV-Pickup-Trucks-tacoma,34045,1
122,"المركبات > سيارات دفع رباعي وبيك آب > Toyota",Tundra,added,"Created subcategory id 44841",44841,Tundra,Tundra,toyota-Off-Road-SUV-Pickup-Trucks-tundra,34045,1
123,"المركبات > سيارات دفع رباعي وبيك آب > Volkswagen",Atlas,added,"Created subcategory id 44842",44842,Atlas,Atlas,volkswagen-Off-Road-SUV-Pickup-Trucks-atlas,34046,1
124,"المركبات > سيارات دفع رباعي وبيك آب > Volkswagen",Taos,added,"Created subcategory id 44843",44843,Taos,Taos,volkswagen-Off-Road-SUV-Pickup-Trucks-taos,34046,1
125,"المركبات > سيارات دفع رباعي وبيك آب > Volkswagen",Teramont,added,"Created subcategory id 44844",44844,Teramont,Teramont,volkswagen-Off-Road-SUV-Pickup-Trucks-teramont,34046,1
126,"المركبات > سيارات دفع رباعي وبيك آب > Volvo",EX90,added,"Created subcategory id 44845",44845,EX90,EX90,volvo-Off-Road-SUV-Pickup-Trucks-ex90,34047,1
127,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Chevrolet",N300,added,"Created subcategory id 44846",44846,N300,N300,trucks-light-trucks-chevrolet-n300,44722,1
128,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Chevrolet",N400,added,"Created subcategory id 44847",44847,N400,N400,trucks-light-trucks-chevrolet-n400,44722,1
129,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Citroën",Jumpy,added,"Created subcategory id 44848",44848,Jumpy,Jumpy,citroen-trucks-light-trucks-jumpy,38814,1
130,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Citroën",Spacetourer,added,"Created subcategory id 44849",44849,Spacetourer,Spacetourer,citroen-trucks-light-trucks-spacetourer,38814,1
131,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Fiat",Doblo,added,"Created subcategory id 44850",44850,Doblo,Doblo,fiat-trucks-light-trucks-doblo,38822,1
132,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Fiat",Fiorino,added,"Created subcategory id 44851",44851,Fiorino,Fiorino,fiat-trucks-light-trucks-fiorino,38822,1
133,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Fiat",Scudo,added,"Created subcategory id 44852",44852,Scudo,Scudo,fiat-trucks-light-trucks-scudo,38822,1
134,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Fiat",Talento,added,"Created subcategory id 44853",44853,Talento,Talento,fiat-trucks-light-trucks-talento,38822,1
135,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","E Series",added,"Created subcategory id 44854",44854,"E Series","E Series",ford-trucks-trucks-light-trucks-e-series,38824,1
136,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","E-Tourneo Courier",added,"Created subcategory id 44855",44855,"E-Tourneo Courier","E-Tourneo Courier",ford-trucks-trucks-light-trucks-e-tourneo-courier,38824,1
137,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","E-Tourneo Custom",added,"Created subcategory id 44856",44856,"E-Tourneo Custom","E-Tourneo Custom",ford-trucks-trucks-light-trucks-e-tourneo-custom,38824,1
138,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","Fiesta Van",added,"Created subcategory id 44857",44857,"Fiesta Van","Fiesta Van",ford-trucks-trucks-light-trucks-fiesta-van,38824,1
139,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","Tourneo Connect",added,"Created subcategory id 44858",44858,"Tourneo Connect","Tourneo Connect",ford-trucks-trucks-light-trucks-tourneo-connect,38824,1
140,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","Tourneo Courier",added,"Created subcategory id 44859",44859,"Tourneo Courier","Tourneo Courier",ford-trucks-trucks-light-trucks-tourneo-courier,38824,1
